Date création grille;Est actif ? (J);Période (traitement);Départements;Volume global contrôles;Volume validés;Part validés;Volume mal formés;Part mal formés;Volume malfaçons;Part malfaçons;Volume mensongers;Part mensongers;Millésime
18/09/2024;1;202441;35;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
05/09/2024;0;202441;44;2;1;50%;1;50%;0;0%;0;0%;2025-02-04 14:59:24.363171
18/09/2024;1;202441;35;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
04/03/2024;1;202441;44;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
29/08/2024;1;202441;29;2;0;0%;0;0%;1;50%;1;50%;2025-02-04 14:59:24.363171
29/08/2024;0;202441;29;2;1;50%;0;0%;0;0%;1;50%;2025-02-04 14:59:24.363171
16/07/2024;1;202441;35;3;2;66,67%;1;33,33%;0;0%;0;0%;2025-02-04 14:59:24.363171
02/03/2023;1;202441;56;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
23/09/2024;1;202441;50;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
02/03/2022;0;202441;35;2;0;0%;2;100%;0;0%;0;0%;2025-02-04 14:59:24.363171
30/08/2023;1;202441;50;1;0;0%;0;0%;0;0%;1;100%;2025-02-04 14:59:24.363171
11/05/2022;0;202441;29;2;1;50%;0;0%;1;50%;0;0%;2025-02-04 14:59:24.363171
30/04/2024;1;202441;35;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
19/10/2021;1;202441;29;1;0;0%;1;100%;0;0%;0;0%;2025-02-04 14:59:24.363171
12/12/2023;0;202441;29;1;0;0%;1;100%;0;0%;0;0%;2025-02-04 14:59:24.363171
26/04/2021;0;202441;35;1;0;0%;1;100%;0;0%;0;0%;2025-02-04 14:59:24.363171
26/04/2021;1;202441;50;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
01/08/2023;1;202441;44;2;0;0%;2;100%;0;0%;0;0%;2025-02-04 14:59:24.363171
22/11/2023;1;202441;29;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
10/05/2024;1;202441;29;9;9;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
04/04/2024;1;202441;29;4;3;75%;1;25%;0;0%;0;0%;2025-02-04 14:59:24.363171
30/08/2023;0;202441;44;4;1;25%;0;0%;0;0%;3;75%;2025-02-04 14:59:24.363171
27/10/2022;1;202441;29;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
02/03/2022;1;202441;29;3;0;0%;3;100%;0;0%;0;0%;2025-02-04 14:59:24.363171
23/01/2024;1;202441;35;3;1;33,33%;2;66,67%;0;0%;0;0%;2025-02-04 14:59:24.363171
15/04/2022;1;202441;29;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
07/08/2024;0;202441;50;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
09/01/2023;1;202441;44;2;1;50%;1;50%;0;0%;0;0%;2025-02-04 14:59:24.363171
21/06/2024;1;202441;44;1;0;0%;1;100%;0;0%;0;0%;2025-02-04 14:59:24.363171
06/06/2024;1;202441;44;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
23/01/2024;1;202441;44;1;1;100%;0;0%;0;0%;0;0%;2025-02-04 14:59:24.363171
16/07/2024;0;202441;44;2;0;0%;1;50%;0;0%;1;50%;2025-02-04 14:59:24.363171
13/05/2024;1;202441;29;1;0;0%;1;100%;0;0%;0;0%;2025-02-04 14:59:24.363171
